Ticker,Date,Close,Resistance,Resistance_Distance_%,Close_Position,Daily_Range_%,Range_Ratio,Volume_Ratio,Volume_Surge_10,Momentum_5d_%,Momentum_10d_%,Momentum_20d_%,MA_Ratio,Distance_MA10_%,Distance_MA30_%,ATR_Pct,Volatility_10d,Price_Range_10d_%,RSI_14,Breakout_Pct,Label,Days_Above_5d,Avg_Close_5d,Return_5d_%,Return_30d_%,Max_Gain_30d_%,Max_Drawdown_30d_%,Pct_Days_Above_30d,Continued_Up_30d
AAPL,2010-04-23,8.1004,7.9784,1.53,0.739,1.91,1.1,1.5,1.43,9.47,12.01,19.49,1.051,8.95,14.51,1.92,0.0205,9.71,88.23,1.53,fakeout,2,7.9133,-3.6,-7.34,-0.49,-12.91,6.7,False
AAPL,2010-09-16,8.2721,8.087,2.29,0.986,2.59,1.82,1.47,1.43,5.13,10.48,9.29,1.029,5.81,8.9,1.8,0.0113,8.71,97.49,2.29,breakout,5,8.4886,4.47,10.37,14.98,-0.43,100.0,True
AAPL,2010-09-20,8.4713,8.3137,1.9,0.931,2.8,1.88,1.42,1.39,6.06,9.45,13.46,1.045,6.35,11.12,1.77,0.0113,8.28,95.21,1.9,breakout,5,8.6374,2.8,7.4,12.28,-1.62,100.0,True
AAPL,2010-10-15,9.4138,9.0468,4.06,0.974,3.21,1.99,1.69,1.78,7.03,11.4,14.3,1.04,7.83,12.15,2.15,0.0136,7.85,73.75,4.06,breakout,5,9.302,-2.31,0.68,1.23,-4.52,90.0,True
AAPL,2011-01-10,10.2426,10.0601,1.81,0.871,1.77,1.77,1.38,1.75,3.91,5.47,6.83,1.018,4.2,6.13,1.03,0.0076,4.39,84.05,1.81,breakout,5,10.2941,-0.53,0.05,6.04,-4.59,90.0,True
AAPL,2011-07-18,11.1802,10.917,2.41,0.909,2.51,1.33,1.35,1.32,5.59,8.9,16.72,1.05,5.3,10.57,1.82,0.0118,8.24,86.88,2.41,breakout,5,11.6219,6.61,4.33,7.92,-5.51,86.7,True
AAPL,2011-09-19,12.3117,11.9788,2.78,0.911,4.38,2.35,1.34,1.7,8.34,10.05,15.62,1.018,7.01,8.92,2.11,0.013,8.26,66.2,2.78,breakout,5,12.1725,-2.06,-1.66,2.58,-10.16,50.0,False
AAPL,2012-02-08,14.2573,14.0501,1.48,0.984,1.49,1.17,1.31,1.11,4.49,6.72,12.63,1.059,4.72,10.87,1.71,0.019,5.58,78.91,1.48,breakout,5,14.9328,4.4,25.73,27.12,3.46,100.0,True
AAPL,2012-02-09,14.7505,14.2606,3.44,0.779,3.28,2.78,2.8,2.84,8.36,10.92,16.71,1.06,7.64,14.06,1.83,0.0069,6.82,88.91,3.44,breakout,5,14.9869,1.83,20.86,22.87,0.05,100.0,True
AAPL,2012-02-13,15.0326,14.8836,1.0,0.818,1.34,0.92,1.48,1.29,8.33,10.95,19.72,1.067,7.47,14.67,1.84,0.0106,10.39,96.19,1.0,breakout,5,15.1122,2.44,22.26,22.26,-0.98,100.0,True
